student_id,school_id,class,subject,topic,prerequisite_topic,prerequisite_score,days_since_prerequisite,num_attempts,avg_time_per_attempt,time_on_task,score,score_variance,hint_usage_count,video_rewatch_count,help_seeking_behavior,session_count,attempt_pattern,difficulty_score,struggle_reason,recommended_action
S_A_001,A,5,Maths,Arithmetic,none,100.0,0,2,54.8,109.6,81.9,28.58,8,0,0,5,improving,0.181,none,maintain_current_pace
S_A_002,A,5,Maths,Arithmetic,none,100.0,0,7,45.9,321.3,81.3,46.05,0,1,0,6,stuck,0.187,none,maintain_current_pace
S_A_003,A,5,Maths,Arithmetic,none,100.0,0,7,41.3,289.1,75.3,25.87,0,5,0,4,stuck,0.247,none,maintain_current_pace
S_A_004,A,5,Maths,Arithmetic,none,100.0,0,2,59.0,118.0,77.5,22.16,5,4,0,2,improving,0.225,none,maintain_current_pace
S_A_005,A,5,Maths,Arithmetic,none,100.0,0,2,52.2,104.4,83.1,3.92,3,0,0,4,improving,0.169,none,maintain_current_pace
S_A_006,A,5,Maths,Arithmetic,none,100.0,0,5,5.0,25.0,88.2,40.07,2,4,0,6,stuck,0.118,none,maintain_current_pace
S_A_007,A,5,Maths,Arithmetic,none,100.0,0,4,26.2,104.8,87.6,74.05,0,1,0,1,declining,0.124,none,maintain_current_pace
S_A_008,A,5,Maths,Arithmetic,none,100.0,0,6,21.7,130.2,75.5,60.58,7,1,0,3,declining,0.245,none,maintain_current_pace
S_A_009,A,5,Maths,Arithmetic,none,100.0,0,3,35.3,105.9,80.4,28.23,6,2,0,2,stuck,0.196,none,maintain_current_pace
S_A_010,A,5,Maths,Arithmetic,none,100.0,0,3,24.1,72.3,79.6,34.59,6,4,0,1,declining,0.204,none,maintain_current_pace
S_A_011,A,5,Maths,Arithmetic,none,100.0,0,7,5.0,35.0,43.2,123.45,8,2,1,3,declining,0.568,guessing,enforce_reflection_before_submit
S_A_012,A,5,Maths,Arithmetic,none,100.0,0,2,31.0,62.0,88.5,31.58,4,4,0,2,declining,0.115,none,maintain_current_pace
S_A_013,A,5,Maths,Algebra,Arithmetic,53.5,81,5,34.4,172.0,64.2,69.44,8,0,0,5,improving,0.358,prerequisite_gap,revisit_prerequisite_topic
S_A_014,A,5,Maths,Algebra,Arithmetic,60.4,47,5,39.4,197.0,59.0,43.87,8,1,0,2,declining,0.41,conceptual_misunderstanding,assign_worked_examples
S_A_015,A,5,Maths,Algebra,Arithmetic,38.6,22,5,5.0,25.0,26.0,98.37,4,3,1,6,stuck,0.74,prerequisite_gap,revisit_prerequisite_topic
S_A_016,A,5,Maths,Algebra,Arithmetic,35.0,58,2,73.3,146.6,44.3,12.84,3,0,0,6,improving,0.557,prerequisite_gap,revisit_prerequisite_topic
S_A_017,A,5,Maths,Algebra,Arithmetic,65.0,8,4,40.8,163.2,62.3,36.53,8,1,0,6,improving,0.377,unstable_understanding,spaced_repetition_practice
S_A_018,A,5,Maths,Algebra,Arithmetic,83.5,61,4,22.2,88.8,76.8,49.74,7,5,0,1,stuck,0.232,none,maintain_current_pace
S_A_019,A,5,Maths,Algebra,Arithmetic,69.9,87,2,72.5,145.0,72.4,5.9,3,1,0,5,declining,0.276,none,maintain_current_pace
S_A_020,A,5,Maths,Algebra,Arithmetic,44.1,36,8,43.3,346.4,49.3,119.33,3,1,1,4,stuck,0.507,prerequisite_gap,revisit_prerequisite_topic
S_A_021,A,5,Maths,Algebra,Arithmetic,54.0,28,7,47.3,331.1,49.5,49.51,7,1,0,2,stuck,0.505,prerequisite_gap,revisit_prerequisite_topic
